time_s,x_m,y_m,speed_mps,speed_kph,yaw_deg,yaw_rate_deg_s,roll_deg,pitch_deg,fl_steer_deg,fr_steer_deg,fl_fx_n,fr_fx_n,fl_fy_n,fr_fy_n
2.11,0.00840235093375469,-0.34532247229348606,0.14990916731687454,0.5396730023407483,2.5998030640387495,-4.2508096589055855,0.28909953232516244,-0.0513110099976824,-97.9999617863253,-60.00002571454079,-6128.816092329579,6056.949025917135,-6128.816092329579,6056.949025917135
2.12,0.009160037526911212,-0.34368027641527005,0.1808861443140946,0.6511901195307406,2.523075325678004,-7.677998840847182,0.32910024897103735,-0.040756011728264395,60.00002571454079,97.9999617863253,6252.458886696369,-5896.344671701947,-6252.458886696369,-5896.344671701947
2.13,0.009572690529443562,-0.34191651817569146,0.18117293905265797,0.6522225805895687,2.4852087762211066,-3.775843219689341,0.37698386610012774,-0.059468723031251614,-97.9999617863253,-60.00002571454079,-6284.014882328949,5969.96602768691,-6284.014882328949,5969.96602768691
2.14,0.009463531674647184,-0.3401935231574373,0.17268348479216464,0.6216605452517927,2.4415192533891625,-4.363299482236642,0.4340805291055442,-0.06791287041272294,60.00002571454079,97.9999617863253,6114.174328985082,-6230.396624916498,6114.174328985082,6230.396624916498
2.15,0.00851788867351894,-0.33869233986033764,0.17745236193488825,0.6388285029655977,2.3997021589602854,-4.185156042427327,0.48533535041034637,-0.06320125781767684,-97.9999617863253,-60.00002571454079,-5822.344297433356,6415.852130630785,-5822.344297433356,-6415.852130630785
2.16,0.008559166948006042,-0.3373277759452435,0.13655261417392967,0.4915894110261468,2.3535852945738007,-4.6324699028324465,0.514210122640494,-0.03846661921906594,60.00002571454079,97.9999617863253,5632.393299487399,-6530.95200460648,-5632.393299487399,-6530.95200460648
2.17,0.008251218566948096,-0.33640698703001415,0.0971136823639618,0.3496092565102625,2.317957018703792,-3.5615289267979833,0.521673512374613,-0.03975289711052844,-97.9999617863253,-60.00002571454079,5638.825547882827,6551.398011503026,-5638.825547882827,6551.398011503026
2.18,0.008158176055809062,-0.33586834525349596,0.05468719102612517,0.19687388769405062,2.293963862493403,-2.4073435424967005,0.4856152514371097,-0.03082578813902416,60.00002571454079,97.9999617863253,-5844.68369262709,-6507.934172370549,5844.68369262709,-6507.934172370549
2.19,0.0079141220216972,-0.3361198376081981,0.03503085078615647,0.1261110628301633,2.31319559822826,1.9204569650962156,0.411757387320492,-0.02770236237956331,-97.9999617863253,-60.00002571454079,6009.287855047996,6373.46883620161,-6009.287855047996,6373.46883620161
2.2,0.007995337365012348,-0.33666388823162563,0.05500156803979916,0.19800564494327696,2.366774890548567,5.352863456612687,0.26804117696201657,-0.020846703948243863,60.00002571454079,97.9999617863253,-6198.475224473376,6211.524568018646,-6198.475224473376,-6211.524568018646
2.21,0.008381895755605745,-0.3377349867378685,0.11387451308497319,0.4099482471059035,2.41138337388305,4.461878483275949,0.10365944888495322,-0.023153708324928576,-97.9999617863253,-60.00002571454079,6337.726605746727,-6012.184155353868,6337.726605746727,-6012.184155353868
2.22,0.00780041017926268,-0.3386265724839749,0.10644105513569206,0.38318779848849144,2.4559905573431373,4.462433786600573,-0.10166639995936448,-0.032677848386565435,60.00002571454079,97.9999617863253,-6476.816776813488,5744.744345363182,6476.816776813488,5744.744345363182
2.23,0.008034995250490486,-0.3393532176359073,0.07632662208275486,0.2747758394979175,2.485097001312155,2.913089831303701,-0.27420542005119003,-0.01886770021337917,-97.9999617863253,-60.00002571454079,6566.680081940777,-5502.194887081529,6566.680081940777,5502.194887081529
